Service,Operation,Volume_Per_Customer_Month,Total_Volume_Month,Unit,Bytes_Per_Op,Total_GB_Month,Description
PROXIMA,Post Transaction Ledger Entry,5000.0,50000000,operations,421,19.604,Double-entry bookkeeping entries
PROXIMA,Account Balance Query,10000.0,100000000,operations,0,0,Real-time balance checks
PROXIMA,Statement Generation,20.0,200000,operations,0,0,Monthly/weekly statements
PROXIMA,Account Opening,0.2,2000,operations,383,0.001,New account creation
PROXIMA,Account Closure,0.05,500,operations,100,0.0,Account termination
TITAN,Payment Transaction,2000.0,20000000,operations,539,10.04,Outgoing payments
TITAN,Transfer Transaction,1500.0,15000000,operations,539,7.53,Internal transfers
TITAN,Deposit Transaction,500.0,5000000,operations,539,2.51,Incoming deposits
TITAN,Withdrawal Transaction,200.0,2000000,operations,539,1.004,Cash withdrawals
TITAN,Batch Payment Processing,100.0,1000000,operations,539,0.502,Bulk payment files
TITAN,Transaction Status Check,5000.0,50000000,operations,0,0,Status queries
TITAN,Transaction Reversal,5.0,50000,operations,570,0.027,Transaction corrections
TITAN,Pending Transaction Retry,200.0,2000000,operations,312,0.581,Failed transaction retries
ORION,Customer Registration,0.02,200,operations,1010,0.0,New customer onboarding
ORION,Profile Update,5.0,50000,operations,1010,0.047,Customer data changes
ORION,Address Change,1.0,10000,operations,300,0.003,Address updates
ORION,Contact Details Update,2.0,20000,operations,200,0.004,Phone/email updates
ORION,Preference Update,3.0,30000,operations,271,0.008,Settings and preferences
ORION,Customer Search,100.0,1000000,operations,0,0,Customer lookups
ORION,Document Upload,2.0,20000,operations,500,0.009,KYC document uploads
QUASAR,KYC Verification,0.5,5000,operations,892,0.004,Identity verification
QUASAR,KYC Renewal,0.2,2000,operations,892,0.002,Periodic KYC refresh
QUASAR,AML Check,10.0,100000,operations,765,0.071,Anti-money laundering checks
QUASAR,Risk Score Update,10.0,100000,operations,150,0.014,Risk profile updates
QUASAR,Sanctions Screening,10.0,100000,operations,765,0.071,Sanctions list checks
QUASAR,PEP Check,5.0,50000,operations,400,0.019,Politically exposed person checks
QUASAR,Enhanced Due Diligence,2.0,20000,operations,2000,0.037,High-risk customer reviews
KRYPTON,Collateral Registration,0.5,5000,operations,892,0.004,Asset registration
KRYPTON,Collateral Valuation,1.0,10000,operations,504,0.005,Asset valuation updates
KRYPTON,Insurance Update,0.5,5000,operations,200,0.001,Insurance status updates
KRYPTON,LTV Calculation,5.0,50000,operations,0,0,Loan-to-value calculations
ASTER,Loan Approval Workflow,2.0,20000,operations,700,0.013,Credit approval process
ASTER,Limit Increase Workflow,1.0,10000,operations,700,0.007,Credit limit changes
ASTER,Account Closure Approval,0.1,1000,operations,700,0.001,Account closure approvals
ASTER,High Value Transaction Approval,10.0,100000,operations,612,0.057,Large transaction approvals
ASTER,Exception Approval,5.0,50000,operations,612,0.028,Policy exception approvals
ASTER,Workflow Step Completion,30.0,300000,operations,612,0.171,Individual approval steps
NEBULA,Customer Call Log,5.0,50000,operations,1354,0.063,Phone call records
NEBULA,Email Inquiry,10.0,100000,operations,1354,0.126,Email communications
NEBULA,Chat Session,2.0,20000,operations,1354,0.025,Chat support logs
NEBULA,Complaint Registration,0.5,5000,operations,1354,0.006,Formal complaints
NEBULA,Follow-up Interaction,20.0,200000,operations,440,0.082,Follow-up activities
NEBULA,Relationship Manager Note,20.0,200000,operations,500,0.093,RM activity notes
APHELION,Daily Metrics Calculation,30.0,300000,operations,434,0.121,Daily aggregated metrics
APHELION,Transaction Analytics Event,5000.0,50000000,operations,496,23.097,Transaction behavior tracking
APHELION,Login Event,200.0,2000000,operations,200,0.373,Authentication tracking
APHELION,Click Stream Event,1000.0,10000000,operations,150,1.397,UI interaction tracking
APHELION,Risk Score Calculation,20.0,200000,operations,300,0.056,Risk model execution
APHELION,Report Generation,10.0,100000,operations,0,0,Analytics reports
APHELION,Profitability Analysis,5.0,50000,operations,500,0.023,Customer profitability
PULSAR,Transaction Webhook,1500.0,15000000,operations,1506,21.039,Transaction notifications
PULSAR,Account Alert Webhook,200.0,2000000,operations,800,1.49,Account event alerts
PULSAR,Status Update Webhook,100.0,1000000,operations,600,0.559,Status change notifications
PULSAR,Webhook Subscription Create,1.0,10000,operations,431,0.004,New webhook subscriptions
PULSAR,Webhook Retry,50.0,500000,operations,500,0.233,Failed webhook retries
PULSAR,Batch Notification,10.0,100000,operations,5000,0.466,Bulk notifications
HORIZON,Customer View,50.0,500000,operations,396,0.184,Customer profile views
HORIZON,Transaction Search,20.0,200000,operations,396,0.074,Transaction queries
HORIZON,Report Access,10.0,100000,operations,396,0.037,Report viewing
HORIZON,Bulk Operation,1.0,10000,operations,1000,0.009,Batch operations
HORIZON,Export Activity,5.0,50000,operations,396,0.018,Data exports
HORIZON,Dashboard View,100.0,1000000,operations,0,0,Dashboard access
POLARIS,Config Read,100.0,1000000,operations,0,0,Configuration lookups
POLARIS,Config Update,0.02,200,operations,1067,0.0,Configuration changes
POLARIS,Feature Flag Toggle,0.01,100,operations,200,0.0,Feature flag changes
DRACO,Authentication,200.0,2000000,operations,0,0,User authentication
DRACO,Authorization Check,1000.0,10000000,operations,0,0,Permission checks
DRACO,Role Assignment,0.2,2000,operations,128,0.0,Role changes
DRACO,Permission Update,0.1,1000,operations,128,0.0,Permission modifications
DRACO,Audit Log Entry,200.0,2000000,operations,250,0.466,Security audit logs
