Service,Operation,Volume_Per_Customer_Month,Total_Volume_Month,Unit,Bytes_Per_Op,Total_GB_Month,Description
PROXIMA,Post Transaction Ledger Entry,500.0,50000000,operations,421,19.604,Double-entry bookkeeping entries
PROXIMA,Account Balance Query,1000.0,100000000,operations,0,0,Real-time balance checks
PROXIMA,Statement Generation,5.0,500000,operations,0,0,Monthly/weekly statements
PROXIMA,Account Opening,0.05,5000,operations,383,0.002,New account creation
PROXIMA,Account Closure,0.01,1000,operations,100,0.0,Account termination
TITAN,Payment Transaction,200.0,20000000,operations,539,10.04,Outgoing payments
TITAN,Transfer Transaction,150.0,15000000,operations,539,7.53,Internal transfers
TITAN,Deposit Transaction,100.0,10000000,operations,539,5.02,Incoming deposits
TITAN,Withdrawal Transaction,50.0,5000000,operations,539,2.51,Cash withdrawals
TITAN,Batch Payment Processing,10.0,1000000,operations,539,0.502,Bulk payment files
TITAN,Transaction Status Check,500.0,50000000,operations,0,0,Status queries
TITAN,Transaction Reversal,0.5,50000,operations,570,0.027,Transaction corrections
TITAN,Pending Transaction Retry,20.0,2000000,operations,312,0.581,Failed transaction retries
ORION,Customer Registration,0.05,5000,operations,1010,0.005,New customer onboarding
ORION,Profile Update,2.0,200000,operations,1010,0.188,Customer data changes
ORION,Address Change,0.5,50000,operations,300,0.014,Address updates
ORION,Contact Details Update,1.0,100000,operations,200,0.019,Phone/email updates
ORION,Preference Update,1.0,100000,operations,271,0.025,Settings and preferences
ORION,Customer Search,20.0,2000000,operations,0,0,Customer lookups
ORION,Document Upload,0.5,50000,operations,500,0.023,KYC document uploads
QUASAR,KYC Verification,0.1,10000,operations,892,0.008,Identity verification
QUASAR,KYC Renewal,0.05,5000,operations,892,0.004,Periodic KYC refresh
QUASAR,AML Check,1.0,100000,operations,765,0.071,Anti-money laundering checks
QUASAR,Risk Score Update,2.0,200000,operations,150,0.028,Risk profile updates
QUASAR,Sanctions Screening,1.0,100000,operations,765,0.071,Sanctions list checks
QUASAR,PEP Check,0.5,50000,operations,400,0.019,Politically exposed person checks
QUASAR,Enhanced Due Diligence,0.1,10000,operations,2000,0.019,High-risk customer reviews
KRYPTON,Collateral Registration,0.1,10000,operations,892,0.008,Asset registration
KRYPTON,Collateral Valuation,0.2,20000,operations,504,0.009,Asset valuation updates
KRYPTON,Insurance Update,0.1,10000,operations,200,0.002,Insurance status updates
KRYPTON,LTV Calculation,1.0,100000,operations,0,0,Loan-to-value calculations
ASTER,Loan Approval Workflow,0.5,50000,operations,700,0.033,Credit approval process
ASTER,Limit Increase Workflow,0.3,30000,operations,700,0.02,Credit limit changes
ASTER,Account Closure Approval,0.02,2000,operations,700,0.001,Account closure approvals
ASTER,High Value Transaction Approval,1.0,100000,operations,612,0.057,Large transaction approvals
ASTER,Exception Approval,0.5,50000,operations,612,0.028,Policy exception approvals
ASTER,Workflow Step Completion,5.0,500000,operations,612,0.285,Individual approval steps
NEBULA,Customer Call Log,2.0,200000,operations,1354,0.252,Phone call records
NEBULA,Email Inquiry,3.0,300000,operations,1354,0.378,Email communications
NEBULA,Chat Session,1.0,100000,operations,1354,0.126,Chat support logs
NEBULA,Complaint Registration,0.2,20000,operations,1354,0.025,Formal complaints
NEBULA,Follow-up Interaction,8.0,800000,operations,440,0.328,Follow-up activities
NEBULA,Relationship Manager Note,5.0,500000,operations,500,0.233,RM activity notes
APHELION,Daily Metrics Calculation,30.0,3000000,operations,434,1.213,Daily aggregated metrics
APHELION,Transaction Analytics Event,500.0,50000000,operations,496,23.097,Transaction behavior tracking
APHELION,Login Event,100.0,10000000,operations,200,1.863,Authentication tracking
APHELION,Click Stream Event,500.0,50000000,operations,150,6.985,UI interaction tracking
APHELION,Risk Score Calculation,5.0,500000,operations,300,0.14,Risk model execution
APHELION,Report Generation,1.0,100000,operations,0,0,Analytics reports
APHELION,Profitability Analysis,1.0,100000,operations,500,0.047,Customer profitability
PULSAR,Transaction Webhook,150.0,15000000,operations,1506,21.039,Transaction notifications
PULSAR,Account Alert Webhook,50.0,5000000,operations,800,3.725,Account event alerts
PULSAR,Status Update Webhook,20.0,2000000,operations,600,1.118,Status change notifications
PULSAR,Webhook Subscription Create,0.2,20000,operations,431,0.008,New webhook subscriptions
PULSAR,Webhook Retry,5.0,500000,operations,500,0.233,Failed webhook retries
PULSAR,Batch Notification,1.0,100000,operations,5000,0.466,Bulk notifications
HORIZON,Customer View,10.0,1000000,operations,396,0.369,Customer profile views
HORIZON,Transaction Search,5.0,500000,operations,396,0.184,Transaction queries
HORIZON,Report Access,1.0,100000,operations,396,0.037,Report viewing
HORIZON,Bulk Operation,0.1,10000,operations,1000,0.009,Batch operations
HORIZON,Export Activity,0.5,50000,operations,396,0.018,Data exports
HORIZON,Dashboard View,20.0,2000000,operations,0,0,Dashboard access
POLARIS,Config Read,100.0,10000000,operations,0,0,Configuration lookups
POLARIS,Config Update,0.005,500,operations,1067,0.0,Configuration changes
POLARIS,Feature Flag Toggle,0.002,200,operations,200,0.0,Feature flag changes
DRACO,Authentication,100.0,10000000,operations,0,0,User authentication
DRACO,Authorization Check,500.0,50000000,operations,0,0,Permission checks
DRACO,Role Assignment,0.05,5000,operations,128,0.001,Role changes
DRACO,Permission Update,0.02,2000,operations,128,0.0,Permission modifications
DRACO,Audit Log Entry,50.0,5000000,operations,250,1.164,Security audit logs
